ratings,author,title,kindleprice,reviews,digitalprice,listprice
4.3 out of 5 stars,ThomasJ.CareyDonaldR.Schmitt,Inside the Real Area 51: The Secret History of Wright Patterson ,Rs.627.01,51,$16.87,$16.99
4.3 out of 5 stars,,"Secrets of Antigravity Propulsion: Tesla, UFOs, and Classified Aerospace Technology ",Rs.806.33,,$23.83,$24.00
4.6 out of 5 stars,ChrisHadfield,An Astronaut's Guide to Life on Earth ,Rs.275.00,,$9.14,$28.00
4.4 out of 5 stars,NeildeGrasseTysonAvisLang,Space Chronicles: Facing the Ultimate Frontier ,Rs.601.27,,$16.95,$16.95
4.4 out of 5 stars,,"The Smell of Kerosene: A Test Pilot's Odyssey - NASA Research Pilot Stories, XB-70 Tragic Collision, M2-F1 Lifting Body, YF-12 Blackbird, Apollo LLRV Lunar Landing Research Vehicle (NASA SP-4108) ",Rs.54.34,,,$14.99
4.8 out of 5 stars,,Malaysia Flight MH370 Lost in the Dark: In Defense of the Pilots: An Engineer's Perspective ,Rs.180.00,,,$16.13
4.8 out of 5 stars,,Apollo ,Rs.399.00,,,
4.6 out of 5 stars,RichardH.Graham,SR-71 ,"Rs.1,008.04",20,$34.50,$35.00
4.9 out of 5 stars,,"Weather Flying, Fifth Edition ",Rs.887.77,,$25.00,$25.00
4.1 out of 5 stars,,Forever Young: A Life of Adventure in Air and Space ,Rs.627.01,,$16.87,$22.95
4.3 out of 5 stars,ColinD.HeatonAnne-MarieLewis,The German Aces Speak: World War II Through the Eyes of Four of the Luftwaffe's Most Important Commanders ,Rs.889.38,,$28.59,$30.00
4.6 out of 5 stars,AllanJ.McDonaldJamesR.Hansen,"Truth, Lies, and O-Rings: Inside the Space Shuttle  Disaster ",Rs.627.01,,$16.87,$27.50
3.7 out of 5 stars,ThomasPiketty,Capital in the Twenty-First Century ,Rs.741.00,683,$39.67,$39.95
3.9 out of 5 stars,S.J.Scott,Habit Stacking: 97 Small Life Changes That Take Five Minutes or Less ,Rs.183.00,112,,$6.99
4.6 out of 5 stars,,One Nation: What We Can All Do to Save America's Future ,Rs.776.44,216,$25.77,$25.95
4.0 out of 5 stars,RichardHouston,A View to Die For ,Rs.168.00,261,,$12.95
4.0 out of 5 stars,StevenD.LevittStephenJ.Dubner,Think Like a Freak: The Authors of Freakonomics Offer to Retrain Your Brain ,Rs.232.75,139,$14.99,$28.99
4.8 out of 5 stars,MelissaHartwigDallasHartwig,It Starts With Food: Discover the Whole30 and Change Your Life in Unexpected Ways ,Rs.399.00,1255,,$26.95
4.8 out of 5 stars,MichelleKnightMichelleBurford,"Finding Me: A Decade of Darkness, a Life Reclaimed: A Memoir of the Cleveland Kidnappings ",Rs.567.84,1550,$18.82,$24.99
