ratings,author,title,kindleprice,reviews,digitalprice,listprice
4.0 out of 5 stars,B.E.Wilson,Highway to the Stars: The Beginning ,Rs.236.00,19,,$14.99
4.7 out of 5 stars,MichaelR.Hicks,"Reaping The Harvest (Harvest Trilogy, Book 3) ",Rs.245.00,176,,$10.95
4.6 out of 5 stars,RykBrown,"Ep.#7 - ""The Expanse"" (The Frontiers Saga) ",Rs.172.00,340,,$13.23
4.8 out of 5 stars,W.J.Lundy,Only The Dead Live Forever(A Whiskey Tango Foxtrot Novel Vol 3) ,Rs.183.00,145,,$10.50
4.8 out of 5 stars,DavidSimpson,Inhuman (Book 5) (Post-Human Series) ,Rs.187.00,92,,$14.99
4.7 out of 5 stars,RyanWinfield,Isle of Man: Book Two of The Park Service Trilogy ,Rs.374.00,290,,
3.4 out of 5 stars,LaurenBaratz-Logsted,The Thin Pink Line ,Rs.308.00,137,,
4.0 out of 5 stars,LyndaRenham,It Had to Be You (A Romantic Comedy) ,Rs.163.00,25,$3.24,
4.2 out of 5 stars,AutumnKalquist,Legacy Code ,Rs.99.00,62,,$13.95
4.2 out of 5 stars,ZanéSachs,Sadie the Sadist: X-tremely Black Humor/Horror ,Rs.179.00,31,,$12.95
3.5 out of 5 stars,PBKolleri,Murder at Ravenrock (Rachel Markham Mystery Series Book 2) ,Rs.180.00,47,,$9.99
4.7 out of 5 stars,GretchenArcher,Double Dip (A Davis Way Crime Caper Book 2) ,Rs.184.00,88,,
4.7 out of 5 stars,ErinBrady,One Last Blind Date ,Rs.116.00,7,,$11.99
4.6 out of 5 stars,SuzieTwine,The Unorthodox Arrival of Pumpkin Allan ,Rs.198.00,12,,$13.50
4.3 out of 5 stars,HeatherHorrocks,Snowed Inn (Who-Dun-Him Inn Cozy Mystery #1) ,Rs.61.00,125,,
3.5 out of 5 stars,DouglasCoupland,Worst. Person. Ever. ,Rs.656.90,35,$26.76,$26.95
4.3 out of 5 stars,GretchenGalway,This Time Next Door (Oakland Hills 2) ,Rs.235.00,263,,$14.99
4.6 out of 5 stars,RachelSchurig,Three Girls and a New Beginning ,Rs.187.00,27,,
4.4 out of 5 stars,N.M.Silber,The Law of Attraction (Lawyers in Love Book 1) ,Rs.185.00,203,$3.87,$9.99
4.3 out of 5 stars,SarahGoodwin,Prior Engagements ,Rs.62.00,16,,
4.8 out of 5 stars,AndreaKHöst,Lab Rat One (Touchstone Book 2) ,Rs.274.00,80,,$10.99
4.4 out of 5 stars,ChrisGrabenstein,Tilt-a-Whirl (The John Ceepak Mysteries) ,Rs.56.00,108,,
4.4 out of 5 stars,JayAllan,Crimson Worlds Collection I ,Rs.584.00,39,,
4.2 out of 5 stars,MadisonJohns,"Trouble in Tawas, Cozy Mystery (Book 4) (An Agnes Barton Senior Sleuths Mystery) ",Rs.185.00,101,,$12.99
4.4 out of 5 stars,ColinF.Barnes,SALT: A Post-Apocalyptic Thriller ,Rs.99.00,37,,$17.99
4.4 out of 5 stars,,The Mysterious Island ,Rs.0.00,723,,$7.49
4.4 out of 5 stars,SeananMcGuire,Indexing ,Rs.236.73,220,,$14.95
4.4 out of 5 stars,W.J.Lundy,Whiskey Tango Foxtrot Vol 1 (Escaping the Dead) ,Rs.56.00,150,,
4.3 out of 5 stars,ArthurC.Clarke,Rendezvous with Rama (Arthur C. Clarke Collection: Rama) ,Rs.318.25,468,$6.63,$7.99
4.3 out of 5 stars,RykBrown,"Ep.#4 - ""Freedom's Dawn"" (The Frontiers Saga) ",Rs.166.00,233,,$12.03
4.5 out of 5 stars,RykBrown,"Ep.#5 - ""Rise of the Corinari"" (The Frontiers Saga) ",Rs.166.00,264,,$13.70
4.0 out of 5 stars,JeremyLaszlo,Children of the After: Awakening (book 1) ,Rs.224.00,105,,$9.99
4.0 out of 5 stars,JamesS.A.Corey,Cibola Burn: Book 4 of the Expanse ,"Rs.1,275.00",16,,$27.00
5.0 out of 5 stars,MarkGoodwin,American Reset (The Economic Collapse Chronicles Book 3) ,Rs.233.00,27,,$11.99
4.1 out of 5 stars,,The Empire's Corps ,Rs.187.00,297,,
4.8 out of 5 stars,BobbyAdair,Slow Burn: Destroyer & Dead Fire ,Rs.183.00,111,,
4.2 out of 5 stars,JasperT.Scott,Dark Space: The Original Trilogy (Books 1-3) ,Rs.240.00,55,,
4.3 out of 5 stars,IsaacAsimov,Second Foundation ,Rs.147.00,1033,$7.93,$7.99
4.3 out of 5 stars,LukeSmitherd,The Stone Man - A Science Fiction Thriller ,Rs.184.00,552,,$9.99
4.4 out of 5 stars,RichardPhillips,Immune (The Rho Agenda) ,Rs.296.06,852,,$14.95
5.0 out of 5 stars,SaxonAndrew,Mike's War: Sequel to Jesse's Starship ,Rs.295.00,7,,
4.6 out of 5 stars,EllisaBarr,Outage (Powerless Nation Book 1) ,Rs.235.00,19,,$9.99
4.5 out of 5 stars,B.V.Larson,Conquest (Star Force Series) ,Rs.328.00,174,,$11.99
4.4 out of 5 stars,EdwardW.Robertson,"Reapers (Breakers, Book 4) ",Rs.99.00,264,,$13.99
4.6 out of 5 stars,B.V.Larson,Rebellion (Star Force Series) ,Rs.333.00,174,,$11.99
4.2 out of 5 stars,MarkWayneMcGinnis,HAB 12 (Scrapyard Ship) ,Rs.247.00,286,,$10.79
4.3 out of 5 stars,MatthewMather,CyberStorm ,Rs.0.00,3244,$3.31,$12.99
4.4 out of 5 stars,AndreaK.Höst,Stray (Touchstone Book 1) ,Rs.0.00,225,$0.92,$11.99
4.5 out of 5 stars,EvanCurrie,"Homeworld (Odyssey One, Book 3) ",Rs.298.26,414,,$14.95
4.2 out of 5 stars,ArthurC.Clarke,The Fountains of Paradise (Arthur C. Clarke Collection) ,Rs.352.45,71,$6.63,
4.1 out of 5 stars,JohnScalzi,The Human Division (Old Man's War) ,Rs.311.22,202,$9.92,$8.99
4.6 out of 5 stars,BellaForrest,A Shade of Vampire 4: A Shadow of Light ,Rs.99.00,446,,$12.99
4.5 out of 5 stars,GeorgeR.R.Martin,Rogues ,Rs.716.67,13,$29.79,$30.00
4.2 out of 5 stars,BernardBailyn,"The Barbarous Years: The Peopling of British North America: The Conflict of Civilizations, 1600-1675 ",Rs.702.48,,$17.69,$17.95
4.3 out of 5 stars,ViolaRivard,Claimed by the Alphas ,Rs.240.00,36,,
4.4 out of 5 stars,JodiMcIsaac,"Through the Door (The Thin Veil, Book 1) ",Rs.238.49,1041,,$14.95
4.6 out of 5 stars,BeccaAndre,"The Final Formula (The Final Formula Series, Book 1) ",Rs.62.00,56,,$9.99
4.3 out of 5 stars,CherylMatthynssens,Outcast (The Blue Dragon's Geas Book 1) ,Rs.150.00,33,,$9.55
4.1 out of 5 stars,MaxMcCoy,Of Grave Concern (An Ophelia Wylde Paranormal Mystery) ,Rs.118.95,18,$6.94,$7.99
4.2 out of 5 stars,MaureenMcGowan,Deviants (The Dust Chronicles) ,Rs.118.07,211,$3.93,$9.99
4.8 out of 5 stars,BrandonMull,Fablehaven: The Complete Series ,"Rs.1,297.06",493,$39.67,$39.95
4.7 out of 5 stars,DeannaChase,Shadows of Bourbon Street (Jade Calhoun Series Book 5) ,Rs.239.00,50,,$12.99
4.4 out of 5 stars,ChristieGolden,World of Warcraft: War Crimes ,Rs.625.00,122,$26.00,$26.00
4.4 out of 5 stars,SusanKayeQuinn,Open Minds (Book One of the Mindjack Trilogy) ,Rs.0.00,651,$2.76,$12.99
4.7 out of 5 stars,RobertJ.Crane,Broken: The Girl in the Box #6 ,Rs.274.00,76,,$7.99
4.8 out of 5 stars,DonnaGrant,Fire Rising (Dark Kings) ,Rs.318.25,26,$8.99,$7.99
4.6 out of 5 stars,GeorgeR.R.Martin,"A Game of Thrones: The Story Continues Books 1-5: A Game of Thrones, A Clash of Kings, A Storm of Swords, A Feast for Crows, A Dance with Dragons (A Song of Ice and Fire) ","Rs.2,449.10",,$59.74,$49.95
4.5 out of 5 stars,CharlaineHarris,Sookie Stackhouse 8-copy Boxed Set (Sookie Stackhouse/True Blood) ,"Rs.2,109.54",713,$62.97,$63.92
4.5 out of 5 stars,LewisCarroll,"Alice in Wonderland: The Complete Collection (Illustrated Alice's Adventures in Wonderland, Illustrated Through the Looking Glass, plus Alice's Adventures Under Ground and The Hunting of the Snark) ",Rs.61.00,32,,$7.95
1.7 out of 5 stars,CharlaineHarris,After Dead: What Came Next in the World of Sookie Stackhouse ,Rs.576.21,,$17.88,$18.00
4.9 out of 5 stars,QuinnLoftis,"Sacrifice of Love, (Book 7 The Grey Wolves) (The Grey Wolves Series) ",Rs.244.00,406,$4.35,$13.00
4.8 out of 5 stars,AaronPogue,"The Wrath of a Shipless Pirate (The Godlanders War, Book Two) ",Rs.298.26,10,,$14.95
4.5 out of 5 stars,MaplewoodBooks,"Grimm's Fairy Tales: Complete and Illustrated (Over 200 Fairy Tales, with Illustrations, and Bonus Features) ",Rs.60.00,78,,
4.4 out of 5 stars,RobinHobb,Blood of Dragons (Rain Wilds Chronicles) ,Rs.526.26,424,$17.99,$27.99
3.9 out of 5 stars,AaronPogue,"The Dreams of a Dying God (The Godlanders War, Book One) ",Rs.298.26,77,,$14.95
4.6 out of 5 stars,,Gorgon: An Alex Hunter Novel ,Rs.358.04,17,$8.46,
4.4 out of 5 stars,SeananMcGuire,Indexing ,Rs.236.73,220,,$14.95
4.4 out of 5 stars,BramStoker,Dracula ,Rs.0.00,1693,,$4.95
3.9 out of 5 stars,L.P.Dover,Forever Fae (Forever Fae Series Book 1) ,Rs.54.00,262,,$12.99
2.9 out of 5 stars,A.N.RoquelaureAnneRice,The Claiming of Sleeping Beauty (Sleeping Beauty Trilogy) ,Rs.473.22,782,$15.89,$16.00
4.6 out of 5 stars,MaplewoodBooks,"Oz: The Complete Collection (All 14 Oz Books, with Illustrated Wonderful Wizard of Oz, and Exclusive Bonus Features) ",Rs.58.00,346,,
4.1 out of 5 stars,,Fairy Tales Every Child Should Know ,Rs.0.00,641,,$7.30
4.6 out of 5 stars,MarieHall,Kingdom Collection: Books 1-3 (Kingdom Series ) ,Rs.167.22,209,$2.99,$11.30
4.7 out of 5 stars,EdnahWalters,Seeress: Book Three (Runes Series 3) ,Rs.244.00,56,,$11.90
4.7 out of 5 stars,LindsayBuroker,Encrypted ,Rs.149.00,115,,$12.99
4.0 out of 5 stars,MorganRice,A Sea of Shields (Book #10 in the Sorcerer's Ring) ,Rs.234.11,221,$4.97,$15.99
4.1 out of 5 stars,DeniseGroverSwank,"The Curse Keepers (Curse Keepers Series, Book 1) ",Rs.296.06,296,,$14.95
4.0 out of 5 stars,MadisonJohns,Hidden (Werebear shifter Romance) Book One: Clan of the Werebear ,Rs.58.00,44,,$8.99
4.3 out of 5 stars,G.P.Ching,The Soulkeepers (The Soulkeepers Series Book 1) ,Rs.0.00,1609,$1.94,$12.99
4.3 out of 5 stars,BellaForrest,Beautiful Monster 2 ,Rs.99.00,115,,$12.99
5.0 out of 5 stars,K.C.May,The Kinshield Saga: The Complete Series ,Rs.601.00,4,,
3.6 out of 5 stars,GregoryMaguire,Wicked: Life and Times of the Wicked Witch of the West (Wicked Years) ,Rs.247.00,2295,$7.88,$7.99
4.5 out of 5 stars,SueHarrison,"Mother Earth Father Sky (The Ivory Carver Trilogy, 1) ",Rs.118.95,104,$3.14,
4.5 out of 5 stars,StephenKing,The Dark Tower III: The Waste Lands ,Rs.223.25,384,$8.93,$8.99
3.8 out of 5 stars,MorganBlayde,Blue Star Priestess (Demon Lord Book 3) ,Rs.236.00,14,,$12.99
4.2 out of 5 stars,,Troll Mountain: The Complete Novel ,Rs.306.33,19,$6.61,
4.8 out of 5 stars,DonnaGrant,Darkest Flame (Dark Kings) ,Rs.318.25,55,$8.99,$7.99
4.7 out of 5 stars,J.R.Rain,"Samantha Moon: First Eight Novels, Plus One Novella ",Rs.590.00,99,,
4.4 out of 5 stars,PaulDale,The Dark Lord's Handbook ,Rs.169.00,40,,$19.25
4.5 out of 5 stars,KarenMcQuestion,Edgewood (Edgewood Series Book 1) ,Rs.184.00,285,,$12.95
3.6 out of 5 stars,D.W.Jackson,Master Mage (Reawakening Saga Book 6) ,Rs.240.00,32,,$9.50
4.1 out of 5 stars,KimHarrison,Dead Witch Walking (Hollows) ,Rs.119.77,696,$8.68,$7.99
4.4 out of 5 stars,StephenKing,The Dark Tower IV: Wizard and Glass ,Rs.245.10,925,$8.73,$8.99
4.5 out of 5 stars,AshleyStoyanoff,Deadly Crush (Deadly Trilogy Book 1) ,Rs.60.00,68,,$11.99
4.2 out of 5 stars,DorannaDurgin,Wolverine's Daughter (The Wolverine's Daughter Book 1) ,Rs.177.00,97,,
4.4 out of 5 stars,MitchellHogan,A Crucible of Souls (Book One of the Sorcery Ascendant Sequence) ,Rs.399.00,143,,$23.99
4.3 out of 5 stars,TerahEdun,"Courtlight Series Boxed Set (Books 1, 2, 3) ",Rs.245.00,36,,
4.7 out of 5 stars,RobertJ.Crane,"Omega: The Girl in the Box, Book 5 ",Rs.282.00,78,,$10.99
3.2 out of 5 stars,EdGreenwood,"The Herald: The Sundering, Book VI ",Rs.367.60,20,$7.93,$27.95
4.6 out of 5 stars,R.A.Salvatore,"The Companions: The Sundering, Book I ",Rs.318.25,510,$27.95,$7.99
4.1 out of 5 stars,BellaForrest,Beautiful Monster ,Rs.62.00,180,,$12.99
4.8 out of 5 stars,JanetTait,Cast into Darkness (Kate Hamilton Book 1) ,Rs.240.00,13,,$16.00
4.1 out of 5 stars,MorganRice,A Reign of Steel (Book #11 in the Sorcerer's Ring) ,Rs.234.11,203,$4.97,$15.99
4.7 out of 5 stars,EdwardM.Knight,"A Thirst for Vengeance, Part 2 (The Ashes Saga) ",Rs.177.00,6,,
4.8 out of 5 stars,IlonaAndrews,Magic Rises: A Kate Daniels Novel ,Rs.330.84,655,$7.99,$7.99
4.3 out of 5 stars,NeilGaiman,Stardust ,Rs.196.00,912,$8.93,$7.99
4.4 out of 5 stars,AshleyStoyanoff,Deadly Mates (Deadly Trilogy Book 2) ,Rs.180.00,21,,$11.99
4.6 out of 5 stars,ChristineM.Butler,Shadows of the Ancients (The Ancients Series Book 1) ,Rs.182.00,17,,$9.50
4.6 out of 5 stars,JeanieneFrost,Up From the Grave: A Night Huntress Novel ,Rs.318.25,585,$7.99,$7.99
4.7 out of 5 stars,KimHarrison,Ever After (Hollows) ,Rs.318.25,922,$12.58,$7.99
4.7 out of 5 stars,RobertJ.Crane,"Enemies: The Girl in the Box, Book Seven ",Rs.299.00,61,,$11.99
4.5 out of 5 stars,ColleenVanderlinden,Broken: Hidden Book Two ,Rs.250.00,56,,$9.99
4.6 out of 5 stars,HelenHarper,Bloodmagic (Blood Destiny) ,Rs.273.00,79,,$10.99
4.7 out of 5 stars,EdnahWalters,Seeress: Book Three (Runes Series 3) ,Rs.244.00,56,,$11.90
4.9 out of 5 stars,LindsayBuroker,Republic (The Emperor's Edge Book 8) ,Rs.199.00,89,,
4.4 out of 5 stars,ElizabethHunter,A Hidden Fire: Elemental Mysteries Book One ,Rs.0.00,1633,$2.83,$11.99
4.2 out of 5 stars,SteveMcHugh,Crimes Against Magic (The Hellequin Chronicles) ,Rs.236.73,391,,$14.95
4.0 out of 5 stars,CeliaKyle,Ridgeville Series Volume One (BBW Paranormal Shape Shifter Romance) ,Rs.368.00,68,,$11.99
3.5 out of 5 stars,MorganRice,A Quest of Heroes (Book #1 in the Sorcerer's Ring) ,Rs.0.00,1494,$0.81,$10.99
4.6 out of 5 stars,SarahWynde,A Gift of Ghosts (Tassamara) ,Rs.0.00,255,$3.32,$10.99
4.4 out of 5 stars,SeananMcGuire,Indexing ,Rs.236.73,220,,$14.95
4.5 out of 5 stars,StephenKing,The Dark Tower II: The Drawing of the Three ,Rs.255.55,483,$8.99,$8.99
4.5 out of 5 stars,BeccaAndre,"The Blood Alchemist (The Final Formula Series, Book 2) ",Rs.240.00,16,,$9.99
3.9 out of 5 stars,,"Sorcerer's Ring Bundle (Books 10,11,12) (The Sorcerer's Ring Collection Book 4) ",Rs.699.00,25,,
4.2 out of 5 stars,J.R.Rain,The Body Departed ,Rs.236.73,231,,$14.95
3.8 out of 5 stars,,Bookworm ,Rs.254.00,127,,
5.0 out of 5 stars,SusanIllene,Playing with Darkness: Book 3.5 (Sensor Series) ,Rs.58.00,5,,
4.5 out of 5 stars,JessicaSorensen,"Fractured Souls (Shattered Promises, #2) ",Rs.177.00,225,,$16.99
4.2 out of 5 stars,JeffeKennedy,The Twelve Kingdoms: The Mark of the Tala ,Rs.597.13,16,$12.90,$15.00
4.7 out of 5 stars,DeniseGroverSwank,"The Curse Breakers (Curse Keepers Series, Book 2) ",Rs.296.06,106,,$14.95
4.5 out of 5 stars,ChristinaBauer,Angelbound ,Rs.238.49,82,,$12.99
4.7 out of 5 stars,ChrisPhilbrook,Tesser: A Dragon Among Us (A Reemergence Novel Book 1) ,Rs.300.00,26,,$16.95
4.1 out of 5 stars,,Fairy Tales Every Child Should Know ,Rs.0.00,641,,$7.30
4.5 out of 5 stars,T.R.Harris,"A Galaxy To Conquer: (The Human Chronicles Saga Part 2, Book 3) ",Rs.293.00,53,,
4.7 out of 5 stars,LindsayBuroker,Deathmaker (Dragon Blood Book 2) ,Rs.149.00,61,,
4.7 out of 5 stars,PatrickW.Carr,"Draw of Kings, A (The Staff and the Sword Book #3) ",Rs.231.00,175,$5.48,$14.99
4.3 out of 5 stars,JeffWheeler,Fireblood (Whispers from Mirrowen) ,Rs.298.26,355,,$14.95
3.6 out of 5 stars,MorganRice,"Bundle of The Sorcerer's Ring (Books 4,5,6) (The Sorcerer's Ring Collection Book 2) ",Rs.586.16,163,$9.95,
4.7 out of 5 stars,PatrickW.Carr,The Hero's Lot (The Staff and the Sword Book #2) ,Rs.107.80,219,$2.56,$14.99
4.8 out of 5 stars,SamSisavath,The Gates of Byzantium (Purge of Babylon #2) ,Rs.244.00,231,,$13.99
4.1 out of 5 stars,MorganRice,A Land of Fire (Book #12 in the Sorcerer's Ring) ,Rs.234.11,193,$4.97,$15.99
4.7 out of 5 stars,R.A.Salvatore,"Night of the Hunter: Companions Codex, I ",Rs.584.58,259,$27.76,$27.95
4.9 out of 5 stars,CherylMatthynssens,The Blackguard (The Blue Dragon's Geas Book 2) ,Rs.213.00,15,,$13.50
4.4 out of 5 stars,,Magic 101 (A Diana Tregarde Investigation) ,Rs.246.00,38,,
4.5 out of 5 stars,SueHarrison,"Mother Earth Father Sky (The Ivory Carver Trilogy, 1) ",Rs.118.95,104,$3.14,
4.2 out of 5 stars,SusanIllene,Darkness Taunts: Book 2 (Sensor Series) ,Rs.240.00,48,,$15.99
4.6 out of 5 stars,CeliaKyle,Big Furry Deal (Paranormal BBW Shape Shifter Romance) (Ridgeville Book 9) ,Rs.310.00,116,,$9.99
4.4 out of 5 stars,KatherineAddison,The Goblin Emperor ,Rs.659.89,78,$26.99,$25.99
4.7 out of 5 stars,ColleenVanderlinden,Strife: Hidden Book Four ,Rs.240.00,14,,
4.5 out of 5 stars,BlakeCrouch,"Wayward (The Wayward Pines Series, Book Two) ",Rs.296.06,690,,$14.95
4.0 out of 5 stars,ElliottKay,Days of High Adventure ,Rs.180.00,56,,
4.6 out of 5 stars,,The Final Redemption (Mageborn) ,Rs.364.00,304,$6.11,$19.75
4.2 out of 5 stars,SMReine,Witch Hunt: An Urban Fantasy Mystery (Preternatural Affairs Book 1) ,Rs.0.00,69,$2.99,$9.99
4.6 out of 5 stars,JessicaSorensen,"Broken Visions (Shattered Promises, #3) ",Rs.246.00,67,,$12.99
4.5 out of 5 stars,MaplewoodBooks,"Grimm's Fairy Tales: Complete and Illustrated (Over 200 Fairy Tales, with Illustrations, and Bonus Features) ",Rs.60.00,78,,
4.8 out of 5 stars,RobertJ.Crane,Destiny: The Girl in the Box #9 ,Rs.299.00,79,,$10.99
4.5 out of 5 stars,SethSkorkowsky,Damoren (Valducan) ,Rs.300.00,53,,$14.99
4.4 out of 5 stars,AuburnSeal,Roanoke Vanishing (The Vanishing Series Book 1) ,Rs.300.00,61,,$13.99
3.8 out of 5 stars,AniaAhlborn,The Bird Eater ,Rs.296.06,833,,$14.95
4.9 out of 5 stars,RobertJ.Crane,Legacy: The Girl in the Box #8 ,Rs.299.00,68,,$11.99
4.7 out of 5 stars,GenevieveJack,Kick The Candle (Knight Games Book 2) ,Rs.196.00,288,,$12.99
4.3 out of 5 stars,AngelaCorbett,Eternal Starling (Emblem of Eternity Trilogy Book 1) ,Rs.59.00,76,,$18.99
4.6 out of 5 stars,SusanIllene,Chained by Darkness: Book 2.5 (Sensor Series) ,Rs.122.00,33,,$8.99
4.8 out of 5 stars,ShelleyAdina,A Lady of Spirit: A steampunk adventure novel (Magnificent Devices) ,Rs.305.00,24,,$13.99
4.4 out of 5 stars,CameoRenae,Hidden Wings (Hidden Wings Series Book One) ,Rs.180.00,329,,$13.99
4.3 out of 5 stars,,"The Seelie King: The Kings, Book Five ",Rs.240.00,199,,
4.8 out of 5 stars,ElizabethHunter,A Fall of Water: Elemental Mysteries Book Four ,Rs.274.00,581,,$12.99
3.9 out of 5 stars,AaronPogue,"The Dreams of a Dying God (The Godlanders War, Book One) ",Rs.298.26,77,,$14.95
4.2 out of 5 stars,ClaireFarrell,Thirst (Ava Delaney Book 1) ,Rs.54.00,272,,
4.2 out of 5 stars,DeannaChase,"Haunted on Bourbon Street (Jade Calhoun Series, Book 1) (The Jade Calhoun Series) ",Rs.219.00,658,,$12.99
4.3 out of 5 stars,,Sparrow Hill Road ,Rs.477.58,67,$15.89,$16.00
4.7 out of 5 stars,AnneBishop,Murder of Crows: A Novel of the Others ,Rs.661.46,315,$26.95,$26.95
4.8 out of 5 stars,NaliniSingh,Shield of Winter: A Psy-Changeling Novel (PSY-CHANGELING SERIES Book 13) ,Rs.425.00,221,$14.12,$25.95
4.5 out of 5 stars,StevenCampbell,Hard Luck Hank: Basketful of Crap ,Rs.361.00,49,,$12.99
4.3 out of 5 stars,ChristieRich,Five (Elemental Enmity Series Book I) ,Rs.169.00,156,,
3.9 out of 5 stars,AniaAhlborn,Seed ,Rs.58.74,727,$3.96,$14.95
3.4 out of 5 stars,CristinaRayne,Claimed by the Elven King: Part One ,Rs.0.00,70,$1.00,
4.9 out of 5 stars,R.D.Brady,The Belial Ring (The Belial Series Book 3) ,Rs.236.00,21,,$15.99
4.5 out of 5 stars,DannikaDark,Seven Years (Seven Series #1) ,Rs.236.00,424,,$12.99
4.7 out of 5 stars,IlonaAndrews,Clean Sweep ,Rs.307.92,634,$5.18,$10.99
4.3 out of 5 stars,B.V.Larson,Swarm (Star Force Series Book 1) ,Rs.164.00,690,,$9.99
4.8 out of 5 stars,BobbyAdair,"Slow Burn: Dead Fire, Book 4 ",Rs.122.00,284,,$8.95
4.1 out of 5 stars,CarmenCaine,The Kindling Heart [2nd Edition] (The Highland Heather and Hearts Scottish Romance Series Book 1) ,Rs.177.00,121,,$13.99
3.7 out of 5 stars,MorganRice,A Fate of Dragons (Book #3 in the Sorcerer's Ring) ,Rs.175.44,421,$3.31,$12.99
4.5 out of 5 stars,NeilGaiman,The Graveyard Book ,Rs.211.85,987,$9.85,$8.99
4.1 out of 5 stars,CharlaineHarris,Dead Until Dark: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood) ,Rs.208.05,1252,$7.93,$7.99
4.9 out of 5 stars,SMReine,Torn by Fury (The Ascension Series Book 6) ,Rs.237.00,52,,$13.99
4.5 out of 5 stars,DannikaDark,Six Months (Seven Series #2) ,Rs.243.00,194,,$12.99
4.5 out of 5 stars,GeorgeR.R.Martin,"A Game of Thrones (A Song of Ice and Fire, Book 1) ",Rs.210.00,5622,$9.72,$9.99
4.6 out of 5 stars,TracyTappan,The Bloodline War (The Community Book 1) ,Rs.180.00,77,,$12.95
4.7 out of 5 stars,R.D.Brady,The Belial Library (The Belial Series 2) ,Rs.249.00,202,,$16.99
4.6 out of 5 stars,C.S.Lewis,The Screwtape Letters ,Rs.328.19,1118,$12.61,$26.95
4.6 out of 5 stars,,Gorgon: An Alex Hunter Novel ,Rs.358.04,17,$8.46,
4.3 out of 5 stars,ColleenRuttan,The Last Falcon (The Cael Stone Book 1) ,Rs.177.00,,,$11.99
4.8 out of 5 stars,ElizabethHunter,The Scribe: Irin Chronicles Book One ,Rs.240.00,323,,$11.99
4.2 out of 5 stars,BenH.Winters,Countdown City: The Last Policeman Book II (Last Policeman Trilogy) ,Rs.182.37,193,$3.99,$14.95
4.3 out of 5 stars,TerahEdun,Blades Of Magic: Crown Service #1 ,Rs.59.00,113,,
4.5 out of 5 stars,RebeccaZanetti,Tamed (Dark Protectors) ,Rs.151.07,104,$2.99,
3.9 out of 5 stars,ChuckHogan,The Night Eternal (The Strain Trilogy) ,Rs.137.75,374,$12.48,$9.99
4.0 out of 5 stars,ErikScottdeBie,Shadow of the Winter King (World of Ruin Book 1) ,Rs.300.00,12,,$19.95
3.9 out of 5 stars,GeorgeR.R.MartinBenAvery,The Hedge Knight: The Graphic Novel (A Game of Thrones) ,Rs.480.90,,,$14.95
3.8 out of 5 stars,GeorgeR.R.Martin,"A Dance With Dragons (A Song of Ice and Fire, Book 5) ",Rs.426.00,6339,$9.46,$9.99
4.3 out of 5 stars,EveLanglais,A Ghostly Ménage: Werewolf Paranormal ,Rs.177.00,46,,$5.99
4.8 out of 5 stars,RobertJ.Crane,"Family: The Girl in the Box, Book Four ",Rs.278.00,112,,$10.99
3.5 out of 5 stars,ChrissyPeebles,Suspending Reality (Five Fantasy Stories) ,Rs.598.00,15,,
4.0 out of 5 stars,T.W.Piperbrook,Contamination Boxed Set (Books 0-3 in the series) ,Rs.62.00,253,,
4.1 out of 5 stars,MichaelJ.Sullivan,Hollow World ,Rs.59.00,127,,$15.95
4.7 out of 5 stars,ElizabethHunter,The Force of Wind: Elemental Mysteries Book 3 ,Rs.219.00,542,,$11.99
4.8 out of 5 stars,JimButcher,Skin Game (The Dresden Files Book 15) ,Rs.449.50,1461,$14.94,$27.95
4.7 out of 5 stars,ElizabethHunter,This Same Earth: Elemental Mysteries Book Two ,Rs.219.00,682,,$11.99
4.2 out of 5 stars,BiancaD'Arc,King's Throne ,Rs.308.00,28,,$11.99
4.1 out of 5 stars,ColleenVanderlinden,Lost Girl: Hidden Book One ,Rs.187.00,86,,$8.99
4.1 out of 5 stars,StephenKing,The Dark Tower I: The Gunslinger ,Rs.228.95,914,$8.99,$8.99
3.7 out of 5 stars,MorganRice,A March of Kings (Book #2 in the Sorcerer's Ring) ,Rs.174.99,481,$3.31,$11.99
4.6 out of 5 stars,JodiMcIsaac,"Into the Fire (The Thin Veil, Book 2) ",Rs.238.49,164,$4.96,$14.95
4.9 out of 5 stars,CarrieAnnRyan,Fighting Fate (Redwood Pack) ,Rs.236.00,24,,
4.6 out of 5 stars,JennBennett,Banishing the Dark (The Arcadia Bell series) ,Rs.245.00,40,$7.93,$7.99
4.2 out of 5 stars,RachelMorganAlexiaPurdyJuliaCraneTaliaJagerAntheaSharpIndiaDrummondTaraMayaJennaElizabethJohnsonDanaMichelleBurnett,Faery Realms: Ten Magical Titles: Multi-Author Bundle of Novels & Novellas ,Rs.60.00,36,,
4.8 out of 5 stars,ConnieSuttle,Cloud Dust: RD-1 ,Rs.293.00,39,,
4.9 out of 5 stars,TMichaelFord,Return to Sky Raven: Book Two of the Enchanters of Xarparion ,Rs.175.00,17,,
3.9 out of 5 stars,MorganRice,A Rite of Swords (Book #7 in the Sorcerer's Ring) ,Rs.199.00,327,,$14.99
4.6 out of 5 stars,MaplewoodBooks,"Oz: The Complete Collection (All 14 Oz Books, with Illustrated Wonderful Wizard of Oz, and Exclusive Bonus Features) ",Rs.58.00,346,,
